file,sample_percent,runs,selected_method,original_bytes,compressed_bytes,compressed_percent,preprocess_avg_ms,secondary_avg_ms,total_encode_avg_ms,total_decode_avg_ms,matches_100_percent,all_verified
"kodim03.dds",20,5,Scanline,196736,124642,63.354953,2.536,84.920,87.455,67.248,true,true
"kodim03.dds",10,5,Scanline,196736,124642,63.354953,2.122,76.811,78.934,74.573,true,true
"kodim04.dds",100,5,Scanline,196736,143276,72.826529,1.258,68.257,69.515,58.909,true,true
"kodim04.dds",20,5,Scanline,196736,143276,72.826529,2.055,79.626,81.681,61.065,true,true
"kodim04.dds",10,5,Scanline,196736,143276,72.826529,1.486,89.491,90.978,63.506,true,true
"kodim05.dds",100,5,Scanline,196736,159598,81.122926,1.878,70.993,72.871,59.920,true,true
"kodim05.dds",20,5,Scanline,196736,159598,81.122926,1.313,72.454,73.767,60.404,true,true
"kodim05.dds",10,5,Scanline,196736,159598,81.122926,1.289,77.954,79.243,61.515,true,true
"kodim06.dds",100,5,Scanline,196736,136318,69.289810,2.158,68.468,70.627,62.206,true,true
"kodim06.dds",20,5,Scanline,196736,136318,69.289810,1.515,81.398,82.913,62.694,true,true
"kodim06.dds",10,5,Scanline,196736,136318,69.289810,1.036,73.447,74.483,62.238,true,true
"kodim07.dds",100,5,Scanline,196736,131167,66.671580,2.093,72.797,74.890,65.082,true,true
"kodim07.dds",20,5,Scanline,196736,131167,66.671580,1.706,73.406,75.113,65.184,true,true
"kodim07.dds",10,5,Scanline,196736,131167,66.671580,1.367,79.419,80.786,66.492,true,true
"kodim08.dds",100,5,Scanline,196736,159148,80.894193,1.779,70.839,72.617,67.711,true,true
"kodim08.dds",20,5,Scanline,196736,159148,80.894193,1.880,66.745,68.625,71.163,true,true
"kodim08.dds",10,5,Scanline,196736,159148,80.894193,6.405,68.556,74.960,72.179,true,true
"kodim09.dds",100,5,Scanline,196736,129761,65.956917,1.907,65.562,67.469,62.322,true,true
"kodim09.dds",20,5,Scanline,196736,129761,65.956917,2.297,78.619,80.916,66.427,true,true
"kodim09.dds",10,5,Scanline,196736,129761,65.956917,1.513,73.561,75.073,60.821,true,true
"kodim10.dds",100,5,Scanline,196736,137986,70.137646,1.279,62.336,63.614,72.172,true,true
